Positive,pos_chi
ABIDE,堅持
ABILITY,能力
ABLE,有能力的
ABOUND,盛產
ABSOLVE,開脫
ABSORBENT,吸收劑
ABSORPTION,吸收
ABUNDANCE,豐富
ABUNDANT,豐富
ACCEDE,加入
ACCENTUATE,突出
ACCEPT,接受
ACCEPTABLE,可接受的
ACCEPTANCE,驗收
ACCESSIBLE,無障礙
ACCESSION,加入
ACCLAIM,歡呼
ACCLAMATION,鼓掌
ACCOLADE,assholade.
ACCOMMODATE,容納
ACCOMMODATION,住宿
ACCOMPANIMENT,伴奏
ACCOMPLISH,完成
ACCOMPLISHMENT,成就
ACCORD#2,雅閣＃2
ACCORD#3,雅閣＃3
ACCORD#5,雅閣＃5
ACCORDANCE,根據
ACCOUNTABLE,責任
ACCRUE,累積
ACCURACY,準確性
ACCURATE,準確的
ACCURATENESS,準確性
ACHIEVE,達到
ACHIEVEMENT,成就
ACKNOWLEDGEMENT,承認
ACQUAINT,熟悉
ACQUAINTANCE,熟人
ACQUIT,
ACQUITTAL,開釋
ACTUAL#1,實際＃1
ACTUAL#2,實際＃2
ACTUALITY,現實
ADAMANT,ad
ADAPTABILITY,適應性
ADAPTABLE,適應
ADAPTATION,適應
ADAPTIVE,自適應
ADEPT,嫻熟
ADEPTNESS,嫻熟
ADEQUATE,足夠的
ADHERENCE,堅持
ADHERENT,堅持
ADHESION,粘附
ADHESIVE,粘合劑
ADJUNCT,附件
ADJUST#2,調整＃2
ADJUSTABLE,可調節的
ADJUSTMENT,調整
ADMIRABLE,adm
ADMIRATION,欽佩
ADMIRE,欽佩
ADMIRER,愛慕者
ADMIT#1,承認＃1
ADMIT#2,承認＃2
ADMIT#3,承認＃3
ADMITTANCE,准入
ADORABLE,可愛
ADORE,崇拜
ADORN,裝飾
ADORNMENT,裝飾
ADROIT,adroit.
ADROITLY,巧妙
ADULATION,ad
ADULT#2,成人＃2
ADVANCE#1,進步＃1
ADVANCE#2,前進＃2
ADVANCE#3,進步＃3
ADVANCEMENT,進步
ADVANTAGE,優勢
ADVANTAGEOUS,有利
ADVENT,來臨
ADVENTURESOME,冒險
ADVENTUROUS,冒險
ADVISABLE,建議
ADVOCACY,倡導
AFFABILITY,親切
AFFABLE,寶
AFFECTION,感情
AFFECTIONATE,親熱
AFFILIATE,聯盟
AFFILIATION,聯繫
AFFINITY,親和力
AFFIRM,確認
AFFIRMATION,肯定
AFFIRMATIVE,肯定
AFFIX,詞綴
AFFLUENCE,富裕
AFFLUENT,富裕
AFLOAT,漂浮
AGGREGATE,總計的
AGGREGATION,聚合
AGILE,敏捷
AGILITY,敏捷
AGREEABLE,合適的
AGREEMENT,協議
AID#1,援助＃1
AID#2,援助＃2
ALERTNESS,警覺
ALIGHT,al
ALIVE,活
ALLEGIANCE,忠誠
ALLEVIATE,減輕
ALLIANCE,聯盟
ALLIED,盟國
ALLIES,盟國
ALLOW#1,允許＃1
ALLOWABLE,允許
ALLOWANCE,津貼
ALLURE,引誘
ALLY#1,盟友＃1
ALMIGHTY,全能
ALTRUISTIC,利他主義
AMAZEMENT,驚喜
AMAZING,驚人
AMELIORATE,改善
AMENABLE,可用
AMENITY,舒適
AMIABILITY,和藹
AMIABLE,可親
AMICABLE,友好
AMNESTY,大赦
AMOUR,戀情
AMPLE,充足
AMPLIFY,放大
AMPLY,放心
AMUSE,娛樂
AMUSEMENT,娛樂
ANGEL,天使
ANGELIC,天使
ANOINT,塗鴉
APOCALYPSE,天啟
APPEAL#3,上訴＃3
APPEASE,安撫
APPEND,附加
APPLAUD,鼓掌
APPLAUSE,掌聲
APPOINT#1,任命＃1
APPOINT#2,任命＃2
APPRECIABLE,可觀
APPRECIATE,欣賞
APPRECIATION,欣賞
APPRECIATIVE,欣賞
APPREHEND,逮捕
APPROACH#1,接近＃1
APPROACH#2,接近＃2
APPROPRIATE#1,適當的＃1
APPROVAL,贊同
APPROVE#1,批准＃1
APPROVE#2,批准＃2
APT,易於
APTITUDE,能力
ARBITER,仲裁者
ARBITRATE,仲裁
ARBITRATION,仲裁
ARDENT,熱心
ARISEN,出現
ARISTOCRACY,貴族
ARISTOCRAT,貴族
ARISTOCRATIC,貴族
ARREST#3,逮捕＃3
ART#1,藝術＃1
ART#4,藝術＃4
ASCRIBE,歸咎於
ASPIRATION,願望
ASPIRE,渴望
ASSENT,同意
ASSERTION,斷言
ASSET,資產
ASSIST#1,助攻＃1
ASSIST#2,助攻＃2
ASSISTANCE,協助
ASSISTANT,助手
ASSOCIATE#1,關聯＃1
ASSOCIATE#2,關聯＃2
ASSOCIATE#3,關聯＃3
ASSOCIATION#1,協會＃1
ASSOCIATION#2,協會＃2
ASSURANCE,保證
ASSURE#1,保證＃1
ASSURE#2,保證＃2
ASSURE#3,保證＃3
ASSUREDLY,嚇住了
ASTOUND,驚奇
ASTUTE,精明
ATHLETIC,運動
ATTACHMENT,附件
ATTAIN,達到
ATTAINMENT,素養
ATTEND#1,參加＃1
ATTENDANCE,出勤
ATTENTIVE,細心
ATTRACT,吸引
ATTRACTION,吸引力
ATTRACTIVE,吸引人的
ATTRACTIVENESS,吸引力
ATTUNE,att
AUDIBLE,可聽
AUGMENT,增加
AUGMENTATION,增強
AUSPICIOUS,吉祥
AUTHENTIC,真正的
AUTHENTICITY,真實性
AUTHORITATIVE,權威性
AUTHORITY,權威
AUTONOMOUS,自主性
AVAILABILITY,可用性
AVID,狂熱
AWARD#1,獎第一
AWARD#2,獎金＃2
AWARE,知道的
AWARENESS,意識
BACK#2,背2
BACK#5,背5.
BACKBONE,骨幹
BACKER,背包
BACKING,後盾
BALL#5,球＃5
BALL#6,球＃6
BALMY,芳香
BAPTISM,洗禮
BAPTIZE,施洗
BARGAIN,便宜貨
BASIC#1,基本＃1
BASIC#2,基本＃2
BEACON,燈架
BEAUTEOUS,bea
BEAUTIFY,美化
BEAUTY,美麗
BEFIT,合適
BEFITTING,合適
BEFRIEND,愛好者
BEHALF,代表
BELOVED,心愛
BENEFACTOR,恩人
BENEFICENT,受益者
BENEFICIAL,有利
BENEFICIARY,受益人
BENEFIT#1,福利＃1
BENEFIT#2,福利＃2
BENEFIT#3,福利＃3
BENEVOLENCE,仁
BENEVOLENT,仁慈
BENIGN,良性
BEQUEATH,遺贈
BEST,最好的
BESTOW,賜給
BETROTH,聘
BETROTHAL,德語
BETTER#1,更好＃1
BETTER#2,更好的＃2
BLAMELESS,無可指責
BLESS#1,祝福＃1
BLESS#2,祝福＃2
BLESS#3,祝福＃3
BLISS,bl
BLISSFUL,bl
BLITHE,鴻世
BLOOM,盛開
BLOSSOM,開花
BOARD#8,板＃8
BOLDNESS,膽量
BOLSTER,撐腰
BONNY,bon
BONUS,獎金
BOOM,繁榮
BOOST#1,提升＃1
BOOST#2,升壓＃2
BOUNDLESS,無邊的
BOUNTIFUL,豐富
BRAINY,聰明
BRAVE,勇敢的
BRAVERY,勇敢
BREADWINNER,養家糊口
BRIGHT,明亮的
BRIGHTNESS,亮度
BRILLIANCE,輝煌
BRILLIANT,傑出的
BROTHERHOOD,兄弟情誼
BROTHERLY,兄弟
BUOYANT,浮力
BUY#2,買＃2
CALL#4,撥打＃4
CALM#1,平靜＃1
CALM#2,平靜＃2
CALM#3,平靜＃3
CALMNESS,平靜
CANDID,坦率
CANDOR,坦率
CAPABILITY,能力
CAPABLE,有能力的
CAPITALIZE,資本化
CAPTIVATION,興奮
CARE#1,關心＃1
CARE#2,護理＃2
CAREFREE,暢快
CAREFUL,小心
CARESS#1,愛撫＃1
CARESS#2,愛撫＃2
CASUAL,隨意的
CEASELESS,不可禁要的
CELEBRATE,慶祝
CELEBRATION,慶典
CELEBRITY,名人
CEREMONIAL,儀式
CHAMP,冠軍
CHAMPION,冠軍
CHAMPIONSHIP,錦標賽
CHARISMA,魅力
CHARITABLE,慈善
CHARITY,慈善機構
CHARM#1,魅力＃1
CHARM#2,魅力＃2
CHASTE,貞潔
CHEER,歡呼
CHEERFUL,快樂
CHEERY,爽快
CHERISH#1,珍惜＃1
CHERISH#2,珍惜＃2
CHERUB,小腳
CHIC,別緻
CHIVALROUS,俠義
CHIVALRY,俠義
CHOSEN#2,選擇＃2
CHUM,密友
CIVIL#1,民間＃1
CIVILITY,禮貌
CIVILIZATION,文明
CIVILIZE#1,文明＃1
CIVILIZE#2,文明＃2
CLARIFY,闡明
CLARITY,明晰
CLASSIC,經典的
CLEAN#1,清潔＃1
CLEAN#3,清潔＃3
CLEANLINESS,清潔
CLEANSE,潔淨
CLEAR#1,清除＃1
CLEAR#2,清除＃2
CLEAR#3,清除＃3
CLEAR#4,清除＃4
CLEAR#5,清除＃5
CLEARNESS,清晰度
CLEVER,聰明的
CLOSENESS,親近
CLOUT,克勞
CO-OPERATION,合作
COAX,哄
CODDLE,溺愛
COEXISTENCE,共存
COGENT,c
COGNIZANCE,認識
COGNIZANT,認識
COHERENT,相干
COHESION,凝聚
COHORT,隊列
COINCIDENT,重合
COLLABORATE,合作
COLLABORATION,合作
COLLEAGUE,同事
COLOSSAL,龐大
COMEBACK,回來
COMEDY,喜劇
COMELY,漂亮
COMESTIBLE,可笑
COMFORT#1,舒適＃1
COMFORT#2,舒適＃2
COMFORT#3,舒適＃3
COMFORTABLE,舒服的
COMIC,漫畫
COMICAL,滑稽
COMMEMORATE,紀念
COMMEMORATION,紀念
COMMENCEMENT,開始
COMMEND,表彰
COMMENDABLE,comm
COMMENDATION,表彰
COMMENSURATE,相稱
COMMISSION,委員會
COMMITMENT,承諾
COMMODIOUS,恭喜
COMMON#1,共同＃1
COMMON#4,共同＃4
COMMONSENSE,致遠的
COMMUNAL,共計
COMMUNE,公社
COMMUNICATE#1,溝通＃1
COMMUNICATE#2,溝通＃2
COMMUNICATIVE,交際
COMMUNION,共和國
COMMUNITY,社區
COMPANION,伴侶
COMPANIONSHIP,友誼
COMPASSION,同情
COMPASSIONATE,富於同情心
COMPATIBLE,兼容的
COMPENSATE,補償
COMPENSATION,賠償
COMPETENCE,權限
COMPETENCY,競爭力
COMPETENT,勝任的
COMPLEMENT#1,補充＃1
COMPLEMENT#2,補充＃2
COMPLEMENTARY,補充
COMPLETE#1,完成＃1
COMPLETE#2,完成＃2
COMPLETENESS,完整性
COMPLETION,完成
COMPLIANCE,遵守
COMPLIMENT,讚揚
COMPOSURE,鎮定
COMPREHEND,理解
COMPREHENSION,理解
COMPREHENSIVE,綜合的
COMPROMISE#1,妥協＃1
COMPROMISE#2,妥協＃2
CONCESSION,讓步
CONCLUSIVE,確鑿
CONCUR,同意
CONDONE,cond
CONDUCIVE,有利
CONFEDERATION,聯盟
CONFER,授予
CONFIDANT,知己
CONFIDE,信任
CONFIDENCE#1,信心＃1
CONFIDENT,自信的
CONGENIAL,相投
CONGRATULATE,祝賀
CONGRATULATION,祝賀
CONGRATULATORY,祝賀
CONGREGATE,聚集
CONJUNCTION,連詞
CONJURE,變戲法
CONNECT,連接
CONQUER,征服
CONQUEROR,征服者
CONQUEST,征服
CONSCIENCE,良心
CONSCIENTIOUS,殷勤
CONSENSUS,共識
CONSENT#1,同意＃1
CONSENT#2,同意＃2
CONSERVE,養護
CONSIDER#1,考慮＃1
CONSIDER#2,考慮＃2
CONSIDERATE,周到
CONSIDERATION#1,考慮＃1
CONSIGN,交付
CONSISTENCY,一致性
CONSISTENT,持續的
CONSOLE,安慰
CONSOLIDATE,鞏
CONSTANCY,恆定
CONSTRUCTIVE,建設性
CONSULT,諮詢
CONSULTATION,諮詢
CONSUMMATE,完善
CONTACT#1,聯繫＃1
CONTACT#2,聯繫＃2
CONTENT#3,內容＃3
CONTENT#4,內容＃4
CONTENT#5,內容＃5
CONTENTMENT,滿意
CONTINUITY,連續性
CONTRIBUTE#1,貢獻＃1
CONTRIBUTE#2,貢獻＃2
CONTRIBUTION,貢獻
CONTRIBUTOR,貢獻者
CONVENE,召開
CONVICTION,定罪
CONVINCE#1,說服＃1
CONVINCE#2,說服＃2
COOPERATE,合作
COOPERATION,合作
COOPERATIVE#1,合作＃1
COOPERATIVE#2,合作＃2
COOPERATIVE#3,合作＃3
COORDINATE,協調
COORDINATION,協調
CORDIAL,親切
CORRECT#1,正確＃1
CORRECT#2,正確＃2
CORRECT#3,正確＃3
CORRECTION,更正
COUNCIL,議理
COUNSEL#1,律師＃1
COUNSEL#2,律師＃2
COURAGE,勇氣
COURAGEOUS,勇敢
COURTEOUS,有禮貌
COURTESY,禮貌
COURTLY,騙子
COVENANT,盟約
COZY,舒適
CREATE,創造
CREATIVE,有創造力的
CREATIVITY,創造力
CREDENTIALS,證書
CREDIBILITY,可信度
CREDIBLE,可信的
CREDIT#2,信用＃2
CREDIT#4,信用＃4
CRUSADE,運動
CRUSADER,十字軍
CUDDLE,偎
CULMINATE,c
CULMINATION,高潮
CULTIVATE#1,培養＃1
CULTIVATE#2,培養＃2
CULTIVATION,栽培
CULTURE#2,文化＃2
CUPID,丘比特
CURE#1,治愈＃1
CURE#2,治愈＃2
CURTSEY,Curtsey.
CUTE,可愛的
DANCE#1,舞蹈＃1
DANCE#2,舞蹈＃2
DANCE#3,舞蹈＃3
DARE,敢
DARING,大膽
DARLING,寵兒
DAUNTLESS,da
DAWN#2,黎明＃2
DAZZLE,炫
DEAL#1,成交
DEAR#1,親愛的＃1
DEAR#2,親愛的＃2
DECENCY,十分之一
DECENT,體面的
DECIPHER,解碼
DECORATE,裝飾
DECORATION,裝飾
DECORATIVE,裝飾性的
DEDICATE#1,奉獻＃1
DEDICATE#2,奉獻＃2
DEDICATION,奉獻
DEDUCE,推斷
DEFEND,防守
DEFENDER,辯護人
DEFENSE,防禦
DEFINITIVE,明確
DELICACY,美味
DELICATE,精美的
DELIGHT#1,樂趣＃1
DELIGHT#2,樂趣＃2
DELIGHTFUL,愉快
DEPENDABILITY,可靠性
DEPENDABLE,可信
DESCRY,敘述
DESERVE,應得
DESERVEDLY,當之無愧地
DESIRABLE,可取
DESIROUS,渴望
DEVOTE#1,奉獻＃1
DEVOTE#2,奉獻＃2
DEVOTION,奉獻
DEVOUT,虔誠
DEXTERITY,靈巧
DIG#1,挖掘＃1
DIGNIFIED,凝重
DIGNIFY,尊嚴
DIGNITY,尊嚴
DILIGENT,勤奮
DISCERN,辨別
DISCREET,慎重
DISCRETION,審慎
DISCUSS,討論
DISTINCT,清楚的
DISTINCTION,區別
DISTINCTIVE,獨特
DISTINGUISH#1,區分＃1
DISTINGUISH#2,區分＃2
DISTINGUISHED,尊敬
DIVINE#1,神聖＃1
DIVINE#2,神聖＃2
DIVINITY,神
DOMINANCE,佔領稅
DONATE,捐
DONATION,捐款
DOTE,寵愛
DOUBTLESS,無疑
DREAMLAND,夢境
DURABILITY,耐久性
DURABLE,耐用的
DYNAMIC,動態的
EAGER,渴望的
EAGERNESS,渴望
EARNEST,認真
EARNESTNESS,認真
EASE#1,輕鬆＃1
EASE#2,輕鬆＃2
EASY#1,輕鬆＃1
EASY#2,Easy＃2
EASY#3,輕鬆＃3
EASY#4,輕鬆＃4
ECONOMIZE,節約
ECSTASY,狂喜
ECSTATIC,欣喜若狂
EDIBLE,食用
EDUCATED#1,受過教育的＃1
EDUCATION,教育
EDUCATIONAL,教育學位
EFFECTIVE,有效的
EFFECTIVENESS,效力
EFFICACY,功效
EFFICIENCY,效率
EFFICIENT,高效的
ELABORATE,精心製作的
ELABORATION,闡述
ELATE,撒酸
ELEGANCE,優雅
ELEGANT,優雅的
ELOQUENT,雄辯
EMBELLISH,潤
EMBRACE#1,擁抱＃1
EMBRACE#2,擁抱＃2
EMINENCE,換取
EMINENT,傑出
EMPATHY,共情
EMPOWER,授權
EMPOWERMENT,賦予權力
ENABLE,使能夠
ENCHANT#1,魔術＃1
ENCHANT#2,魔術＃2
ENCHANTMENT,魅力
ENCOURAGE#1,鼓勵＃1
ENCOURAGE#2,鼓勵＃2
ENCOURAGEMENT,鼓勵
ENDEAR,end
ENDORSE,摯
ENDOW,賦予
ENDURANCE,耐力
ENERGETIC,精力充沛
ENERGIZE,通電
ENGAGE#5,搞＃5.
ENHANCE,提高
ENHANCEMENT,加強
ENJOY,請享用
ENJOYABLE,愉快
ENJOYMENT,享受
ENLIGHTEN#1,啟發＃1
ENLIGHTEN#2,啟發＃2
ENLIGHTENMENT,啟示
ENRICH,豐富
ENRICHMENT,豐富
ENSEMBLE,合奏
ENSURE,確保
ENTERTAIN#1,娛樂＃1
ENTERTAIN#2,娛樂＃2
ENTERTAINMENT,娛樂
ENTHUSIASM,熱情
ENTHUSIASTIC,熱情的
ENTREPRENEURIAL,創業
ENTRUST,委任
ENVISION,預見
EQUALITY,平等
EQUITABLE,公平
EQUITY,公平
ESSENTIAL#1,基本＃1
ESSENTIAL#2,基本＃2
ESTABLISH#1,建立＃1
ESTABLISH#2,建立＃2
ESTEEM,尊重
ETHICAL,道德
ETHICS,倫理
ETIQUETTE,禮儀
EVEN#4,甚至＃4
EVEN#5,甚至＃5
EVERLASTING,永恆
EXACT#1,精確＃1
EXACT#2,精確＃2
EXALT,ex
EXCEL,excel.
EXCELLENCE,卓越
EXCELLENT,優秀的
EXCITE#1,激動＃1
EXCITE#2,Excite＃2
EXCITED#2,興奮＃2
EXCITEDNESS,興奮
EXCITEMENT,激動
EXERTION,用力
EXHILARATION,興奮
EXOTIC,異國情調
EXPERIENCE#1,體驗＃1
EXPERIENCE#3,體驗＃3
EXPERT#1,專家＃1
EXPERT#2,專家＃2
EXQUISITE,精美的
EXTOL,頌
EXTRAORDINARY,非凡的
EXTRAVAGANCE,奢侈
EXUBERANCE,富人
EXUBERANT,旺盛
EXULT,歡騰
EXULTATION,大喜
EYE#3,眼睛＃3
FABULOUS,極好
FACILITATE,促進
FACTUAL,事實
FAIR#1,公平＃1
FAIR#4,公平＃4
FAIR#5,公平＃5
FAIRNESS,公平
FAITH#1,信仰＃1
FAITH#2,信仰＃2
FAITHFUL,可信
FAITHFULNESS,忠誠
FAME,名聲
FAMILIAR,熟悉的
FAMILIARITY,熟悉
FAMILIARIZE,熟悉
FAMOUS,著名的
FANCY,想要
FANTASTIC,極好的
FANTASY,幻想
FARSIGHTED,睿
FASCINATION,魅力
FASHIONABLE,時髦
FAVOR#1,有利＃1
FAVOR#2,有利於＃2
FAVOR#3,有利於＃3
FAVOR#4,青睞＃4
FAVOR#5,青睞＃5
FAVORABLE,有利
FAVORITE,最喜歡的
FEARLESS,無所畏懼
FEASIBLE,可行的
FEAST#1,盛宴＃1
FEAST#2,盛宴＃2
FELLOW#2,別人＃2
FELLOWSHIP,獎學金
FERTILE,沃
FERVENT,熱切
FERVOR,熱情
FESTIVAL,節日
FESTIVE,節日
FESTIVITY,慶祝活動
FIDELITY,保真
FIERY,火熱
FILIAL,孝
FILL#4,填充＃4
FINE#1,罰款＃1
FINE#2,罰款＃2
FINE#3,罰款＃3
FINE#4,罰款＃4
FINE#5,罰款＃5
FIRMNESS,堅定
FIT#2,適合＃2
FIT#5,適合＃5
FITNESS,健康
FLAIR,Flair.
FLASHY,flash
FLATTER,奉承
FLATTERY,奉承
FLAUNT,標榜
FLAWLESS,fl
FLEXIBLE,靈活的
FLIRT,調情
FLOURISH,繁榮
FLUENT,流利
FOND#1,喜歡＃1
FOND#2,喜歡＃2
FOND#3,喜歡＃3.
FOND#4,愛＃4
FOND#5,愛＃5
FOND#6,愛＃6
FOND#7,喜歡＃7.
FONDNESS,Foreness
FOREMOST,最重要的
FORESIGHT,前瞻性
FORGAVE,原來
FORGIVE,原諒
FORGIVEN,寬恕
FORGIVENESS,饒恕
FORMALITY,形式化
FORTIFY,強化
FORTITUDE,堅韌
FORTUNATE,幸運
FORWARD#1,前進＃1
FOSTER,促進
FRAGRANT,香
FRANK,坦率
FREE#1,免費＃1
FREE#2,免費＃2
FREE#3,免費＃3
FREE#4,免費＃4
FREE#5,免費＃5
FREEDOM,自由
FRESH,新鮮的
FRIEND,朋友
FRIENDLY,友誼賽
FRIENDSHIP,友誼
FROLIC,嬉戲
FRUGAL,節儉
FRUITFUL,卓有成效
FRUITION,fr
FULFILL,實現
FULFILLMENT,履行
FULLNESS,豐滿
FUN#1,有趣＃1
FUNNY#1,有趣的＃1
FUNNY#2,有趣的＃2
FUNNY#3,有趣的＃3.
GAIETY,歡樂
GAILY,華麗的
GAIN#1,獲得＃1
GAIN#2,獲得＃2
GALLANT,英勇
GALLANTRY,英勇
GAME#3,遊戲＃3
GARNISH,裝飾
GAY,同性戀者
GENERATE,產生
GENEROSITY,慷慨
GENEROUS,慷慨的
GENIAL,世紀
GENIUS,天才
GENTLE,溫和的
GENUINE,真的
GIDDY,頭暈
GIFT,禮物
GIFTED,天才
GLAD#1,高興＃1
GLAD#2,高興＃2
GLADDEN,拉長
GLADNESS,歡樂
GLAMOROUS,迷人
GLAMOUR,魅力
GLEAM#1,閃光＃1
GLEAM#2,閃光＃2
GLEAN,收集
GLEE,高興
GLIMMER,微光
GLISTEN#1,格里斯滕＃1
GLISTEN#2,格里斯肯＃2
GLITTER#1,閃光＃1
GLITTER#2,閃光＃2
GLORIFY,榮耀
GLORIOUS,輝煌
GLORY,榮耀
GLOSSY,光滑
GLOW#1,煥發＃1
GLOW#2,煥發＃2
GODLIKE,上帝喜歡
GODLINESS,敬虔
GOLD,金子
GOLDEN,金的
GOOD#1,好＃1
GOODBYE,再見
GOODNESS,善意
GORGEOUS,華麗的
GRACE,優雅
GRACEFUL,優美
GRACIOUS,親切
GRADUATION,畢業
GRAND,盛大
GRANDEUR,宏偉
GRATEFUL,感激
GRATIFICATION,滿足
GRATIFY,滿足
GRATITUDE,感激
GREAT#1,偉大的＃1
GREAT#2,偉大的＃2
GREAT#3,偉大的＃3.
GREATNESS,偉大
GREET#1,問候＃1
GREET#2,問候＃2
GROOM,馬夫
GUARANTEE#1,保證＃1
GUARANTEE#2,保證＃2
GUARDIAN,監護人
GUIDE#1,指南＃1
GUIDE#2,指南＃2
GUIDE#4,指南＃4
GUSTO,Gusto.
HALLOWED,萬聖節
HAND#9,手＃9
HANDSOME,英俊的
HANDY,便利
HAPPINESS,幸福
HAPPY#1,快樂
HAPPY#2,高興
HAPPY#3,開心
HAPPY#4,愉快
HARDY,強壯的
HARMLESS,無害
HARMONIOUS,和諧
HARMONIZE,協調
HARMONY,和諧
HARNESS,馬俱
HAVEN,避風港
HEAL,癒合
HEALTH,健康
HEALTHFUL,健康
HEALTHY#1,健康＃1
HEALTHY#2,健康＃2
HEALTHY#3,健康＃3
HEART#4,心＃4
HEARTILY,heart
HEAVEN,天堂
HEAVENLY,天上
HELP#1,幫助＃1
HELP#2,幫助＃2
HELP#4,幫助＃4
HELPFUL,樂於助人
HERO,英雄
HEROIC,英勇
HEROINE,女主角
HEROISM,英雄主義
HIGHLIGHT,強調
HILARIOUS,熱鬧
HIT#5,擊中＃5
HOLY,聖
HOMAGE,尊敬
HOME,家
HONEST#1,誠實＃1
HONEST#2,誠實＃2
HONEST#3,誠實＃3
HONEYMOON,蜜月
HONOR#1,榮譽＃1
HONOR#2,榮譽＃2
HONOR#3,榮譽＃3
HONORABLE,榮
HOPE#1,希望＃1
HOPE#2,希望＃2
HOPEFUL,有希望的
HOSPITABLE,好客
HUG,擁抱
HUMAN,人類
HUMANITARIAN,人道主義者
HUMANITY,人性
HUMBLE,謙遜的
HUMILITY,謙遜
HUMOR,幽默
HUMOROUS,幽默
HYGIENE,衛生
IDEAL#1,理想的＃1
IDEAL#2,理想的＃2
IDEAL#3,理想的＃3
IDEALISM,唯心主義
IDOL,偶像
IDOLIZE,偶像
ILLUMINATE,照亮
ILLUSTRIOUS,傑出
IMAGINATION,想像力
